date,value
2021-05-21,147.100006
2021-05-24,147.850006
2021-05-25,148.300003
2021-05-26,148.300003
2021-05-27,146.509995
2021-05-28,147.940002
2021-06-01,147.630005
2021-06-02,148.220001
2021-06-03,147.669998
2021-06-04,147.839996
2021-06-07,147.75
2021-06-08,146.369995
2021-06-09,146.100006
2021-06-10,147.600006
2021-06-11,147.690002
2021-06-14,148.570007
2021-06-15,148.580002
2021-06-16,147.100006
2021-06-17,148.520004
2021-06-18,145.419998
2021-06-21,146.559998
2021-06-22,146.779999
2021-06-23,144.850006
2021-06-24,145.669998
2021-06-25,146.410004
2021-06-28,147.039993
2021-06-29,146.940002
2021-06-30,148.169998
2021-07-01,148.199997
2021-07-02,148.910004
2021-07-06,149.130005
2021-07-07,149.789993
2021-07-08,149.860001
2021-07-09,149.479996
2021-07-12,149.509995
2021-07-13,152.960007
2021-07-14,154.539993
2021-07-15,155.25
2021-07-16,155.820007
2021-07-19,155.800003
2021-07-20,155.820007
2021-07-21,155.240005
2021-07-22,155.190002
2021-07-23,157.179993
2021-07-26,157.070007
2021-07-27,157.940002
2021-07-28,156.490005
2021-07-29,156.809998
2021-07-30,156.949997
2021-08-02,156.320007
2021-08-03,156.669998
2021-08-04,154.050003
2021-08-05,154.309998
2021-08-06,154.330002
2021-08-09,154.350006
2021-08-10,154.429993
2021-08-11,155.039993
2021-08-12,155.070007
2021-08-13,156.520004
2021-08-16,158.050003
2021-08-17,157.899994
2021-08-18,156.279999
2021-08-19,158.910004
2021-08-20,158.350006
2021-08-23,157.850006
2021-08-24,155.889999
2021-08-25,155.199997
2021-08-26,154.630005
2021-08-27,154.940002
2021-08-30,156
2021-08-31,156.389999
2021-09-01,157.910004
2021-09-02,156.949997
2021-09-03,157.089996
2021-09-07,154.529999
2021-09-08,156.720001
2021-09-09,155.729996
2021-09-10,155.460007
2021-09-13,155.759995
2021-09-14,155.149994
2021-09-15,156.020004
2021-09-16,155.559998
2021-09-17,154.130005
2021-09-20,153.610001
2021-09-21,153.539993
